author,poem_name,TOTAL_WORD_COUNT,UNIQUE_WORD_COUNT,TYPE_TOKEN_RATIO,AVG_WORD_LENGTH,STD_WORD_LENGTH,HAPAX_LEGOMENA,FUNCTION_WORD_FREQ,STOP_WORD_RATIO,CHAR_UNIGRAM_ENTROPY,CHAR_BIGRAM_ENTROPY,CHAR_TRIGRAM_ENTROPY,CHAR_DIVERSITY,RARE_CHAR_RATIO,AVG_SYLLABLES_PER_WORD,AVG_LINE_LENGTH_WORDS,AVG_STANZA_LENGTH,TOTAL_LINES,ANAPHORA_SCORE,EPIPHORA_SCORE,ENJAMBMENT_RATIO,ESTIMATED_NOUN_COUNT,ESTIMATED_VERB_COUNT,NOUN_VERB_RATIO,READABILITY_SCORE,Emotion,Sentiment
kapilar,inna13,18,17,0.944444444,5.777777778,1.435871998,16,0,0.0,4.322457128,6.1603354,6.582244705,25,0.1640625,3.277777778,4.5,4,4,0.0,0.0,0.75,2,0,0.0,64.0,Sad,Negative
kapilar,inna14,16,16,1.0,7.0625,1.784262803,16,0,0.0,4.299436179,6.002630284,6.545894421,26,0.140740741,3.5625,4.0,4,4,0.0,0.0,0.75,3,0,0.0,68.0,Sad,Negative
kapilar,inna15,15,15,1.0,6.466666667,1.74610678,15,0,0.0,4.21947372,5.942984434,6.461651957,27,0.161016949,3.533333333,3.75,4,4,0.0,0.0,0.75,2,0,0.0,70.0,Sad,Negative
kapilar,inna16,16,16,1.0,6.6875,1.82752394,16,0,0.0,4.119724055,5.902518266,6.473063085,23,0.19379845,3.625,4.0,4,4,0.0,0.0,0.75,1,0,0.0,68.0,Sad,Negative
kapilar,inna17,16,16,1.0,6.9375,1.390537216,16,0,0.0,4.201579388,6.082780839,6.606139273,25,0.187969925,3.75,4.0,4,4,0.0,0.0,0.75,0,0,0.0,68.0,Sad,Negative
kapilar,inna18,15,15,1.0,6.866666667,1.961858529,15,0,0.0,4.297049336,6.046945579,6.469551579,28,0.177419355,3.666666667,3.75,4,4,0.0,0.0,0.75,1,0,0.0,70.0,Sad,Negative
kapilar,inna19,14,14,1.0,7.428571429,2.945075447,14,0,0.0,4.243069165,6.055916336,6.544512621,24,0.161290323,3.714285714,3.5,4,4,0.0,0.0,0.75,1,0,0.0,72.0,Sad,Negative
kapilar,inna20,15,14,0.933333333,6.6,1.6653328,13,0,0.0,4.188748745,5.666430658,6.121842731,25,0.158333333,3.466666667,3.75,4,4,0.0,0.0,0.75,4,0,0.0,70.0,Sad,Negative
kapilar,inna21,21,17,0.80952381,5.904761905,2.348348192,15,0,0.0,4.244907465,5.952917791,6.576741009,27,0.167741935,3.476190476,5.25,4,4,0.0,0.25,0.0,1,0,0.0,58.0,Sad,Negative
kapilar,inna22,22,19,0.863636364,5.545454545,2.082988952,18,0,0.045454545,4.225782052,6.12159358,6.717472313,26,0.162337662,3.0,5.5,4,4,0.0,0.25,0.0,2,0,0.0,56.0,Sad,Negative
kapilar,inna23,21,18,0.857142857,5.047619048,1.463075381,17,0,0.0,4.327811532,5.948301975,6.435309235,25,0.160583942,2.904761905,5.25,4,4,0.0,0.25,0.0,2,0,0.0,58.0,Sad,Negative
kapilar,inna24,21,17,0.80952381,5.571428571,1.814529417,15,0,0.0,4.308380951,5.961377917,6.493600309,27,0.155405405,3.285714286,5.25,4,4,0.0,0.25,0.0,1,0,0.0,58.0,Sad,Negative
kapilar,inna25,19,15,0.789473684,6.263157895,2.612562873,13,0,0.0,4.282028919,5.993466405,6.478016418,26,0.170068027,3.578947368,4.75,4,4,0.0,0.25,0.25,1,2,0.5,62.0,Sad,Negative
kapilar,inna26,19,16,0.842105263,6.315789474,3.044453656,15,0,0.0,4.414884434,6.092320964,6.536989107,26,0.164473684,3.578947368,4.75,4,4,0.0,0.25,0.0,0,0,0.0,81.0,Sad,Negative
kapilar,inna27,17,14,0.823529412,6.529411765,2.278225498,13,0,0.0,4.387850812,6.05204504,6.477024974,24,0.144927536,3.764705882,4.25,4,4,0.0,0.25,0.0,0,0,0.0,66.0,Sad,Negative
kapilar,inna28,20,16,0.8,6.4,1.71464282,14,0,0.0,4.140764221,5.871441192,6.390858148,25,0.170886076,3.45,5.0,4,4,0.25,0.25,0.0,5,0,0.0,60.0,Sad,Negative
kapilar,inna29,22,18,0.818181818,5.590909091,2.480085976,16,0,0.045454545,4.323845933,6.022106246,6.541382124,26,0.2,3.227272727,5.5,4,4,0.0,0.25,0.0,4,0,0.0,56.0,Sad,Negative
kapilar,inna30,23,20,0.869565217,4.956521739,1.197034774,19,0,0.0,4.473405443,6.090117427,6.560775038,31,0.170068027,2.913043478,5.75,4,4,0.0,0.25,0.0,0,0,0.0,54.0,Sad,Negative
kapilar,inna31,20,18,0.9,6.7,2.551470164,17,0,0.0,4.481885375,6.190145685,6.695489782,29,0.202453988,3.8,5.0,4,4,0.0,0.25,0.0,1,0,0.0,60.0,Sad,Negative
kapilar,inna32,19,16,0.842105263,5.368421053,1.563078148,15,0,0.0,4.461896734,5.92792219,6.423828515,30,0.145038168,3.105263158,4.75,4,4,0.0,0.25,0.0,1,0,0.0,62.0,Sad,Negative
kapilar,inna33,19,16,0.842105263,6.473684211,1.983309861,15,0,0.0,4.380375874,6.086660349,6.508558024,27,0.157894737,3.526315789,4.75,4,4,0.0,0.25,0.0,1,1,1.0,62.0,Sad,Negative
kapilar,inna34,20,16,0.8,6.25,1.785357107,14,0,0.0,4.384789211,6.004593057,6.506447627,27,0.167741935,3.75,5.0,4,4,0.0,0.25,0.0,0,0,0.0,60.0,Sad,Negative
kapilar,inna35,18,16,0.888888889,6.944444444,1.928506106,15,0,0.0,4.359962911,6.13915019,6.653460274,26,0.190789474,4.333333333,4.5,4,4,0.0,0.25,0.0,3,0,0.0,64.0,Sad,Negative
kapilar,inna36,17,15,0.882352941,6.882352941,1.710945832,14,0,0.0,4.371234725,6.096197912,6.486678214,27,0.202797203,3.941176471,4.25,4,4,0.0,0.25,0.0,0,0,0.0,66.0,Sad,Negative
kapilar,inna37,18,16,0.888888889,5.666666667,1.732050808,15,0,0.0,4.384116385,6.042434179,6.504047876,26,0.178294574,3.388888889,4.5,4,4,0.0,0.25,0.0,1,0,0.0,64.0,Sad,Negative
kapilar,inna38,20,18,0.9,6.4,2.130727575,17,0,0.0,4.347262086,5.956721268,6.461802409,27,0.178343949,3.65,5.0,4,4,0.0,0.25,0.0,3,0,0.0,60.0,Sad,Negative
kapilar,inna39,18,16,0.888888889,7.166666667,1.771690969,15,0,0.055555556,4.297988759,6.017595899,6.609913063,26,0.192307692,3.722222222,4.5,4,4,0.0,0.25,0.0,2,0,0.0,64.0,Sad,Negative
